"id","label","description","dialect:short","dialect:numerical","dialect:wikidata","dialect:arbetsmiljoverket"
"Blekinge län","Blekinge län",,"Blekinge",10,"Q102377","Blekinge Län"
"Dalarnas län","Dalarnas län",,"Dalarna",20,"Q103732","Dalarnas Län"
"Gävleborgs län","Gävleborgs län",,"Gävleborg",21,"Q103699","Gävleborgs Län"
"Hallands län","Hallands län",,"Halland",13,"Q103691","Hallands Län"
"Jämtlands län","Jämtlands län",,"Jämtland",23,"Q103679","Jämtlands Län"
"Jönköpings län","Jönköpings län",,"Jönköping",6,"Q103672","Jönköpings Län"
"Kalmar län","Kalmar län",,"Kalmar",8,"Q103707","Kalmar Län"
"Kronobergs län","Kronobergs län",,"Kronoberg",7,"Q104746","Kronobergs Län"
"Norrbottens län","Norrbottens län",,"Norrbotten",25,"Q103686","Norrbottens Län"
"Örebro län","Örebro län",,"Örebro",18,"Q104257","Örebro Län"
"Östergötlands län","Östergötlands län",,"Östergötland",5,"Q104940","Östergötlands Län"
"Skåne län","Skåne län",,"Skåne",12,"Q103659","Skåne Län"
"Södermanlands län","Södermanlands län",,"Södermanland",4,"Q106915","Södermanlands Län"
"Stockholms län","Stockholms län",,"Stockholm",1,"Q104231","Stockholms Län"
"Uppsala län","Uppsala län",,"Uppsala",3,"Q104926","Uppsala Län"
"Värmlands län","Värmlands län",,"Värmland",17,"Q106789","Värmlands Län"
"Västerbottens län","Västerbottens län",,"Västerbotten",24,"Q104877","Västerbottens Län"
"Västernorrlands län","Västernorrlands län",,"Västernorrland",22,"Q104891","Västernorrlands Län"
"Västmanlands län","Västmanlands län",,"Västmanland",19,"Q105075","Västmanlands Län"
"Västra Götalands län","Västra Götalands län","Since 1998","Västra Götaland",14,"Q103093","Västra Götalands Län"
"Skaraborgs län","Skaraborgs län","Since 1998 part of Västra Götalands län","Skaraborg",16,"Q922842",
"Älvsborgs län","Älvsborgs län","Since 1998 part of Västra Götalands län","Älvsborg",15,"Q254990",
"Göteborgs och Bohus län","Göteborgs och Bohus län","Since 1998 part of Västra Götalands län","Göteborgs och Bohus län",14,"Q579801",
"Gotlands län","Region Gotland","For most purposes identical to `regions/sweden/municipalities/Gotlands kommun`, as the adinistrative entity Region Gotland  since 2011.","Gotland",9,"Q103738","Gotlands Län"
